"cont","accX","accY","accZ","gyroX","gyroY","gyroZ","millis","id"
7280,6454,9018,6524,-114,830,-962,805055,"1"
7276,11948,11340,-4842,1948,-933,-752,812540,"2"
7277,11720,11422,-4850,2256,-287,-941,812550,"2"
7278,11370,11514,-4860,2521,377,-1115,812560,"2"
7279,11040,11614,-4746,2780,1117,-1342,812570,"2"
7280,10660,11632,-4882,2998,1928,-1502,812580,"2"
7281,6714,9184,6824,-647,665,-1782,805065,"1"
7282,6716,9376,7078,-1355,419,-2599,805075,"1"
7283,6702,9482,7366,-2065,324,-3404,805085,"1"
7284,6462,9704,7536,-2684,399,-4234,805095,"1"
7285,6086,9694,7408,-3164,523,-4903,805105,"1"
7281,10194,11848,-4958,3041,2965,-1555,812590,"2"
7282,9628,12028,-4830,3019,4116,-1653,812600,"2"
7283,9346,12370,-4656,2848,5462,-1893,812610,"2"
7284,9322,12236,-4312,2686,6691,-2109,812620,"2"
7285,9540,12048,-3786,2593,7851,-2317,812630,"2"
7286,5688,9612,7272,-3364,956,-5486,805115,"1"
7287,5070,9284,7196,-3231,1725,-5620,805125,"1"
7288,4512,8956,6922,-2858,2885,-5422,805135,"1"
7289,4468,8902,6754,-2363,4266,-5158,805145,"1"
7290,4666,8674,6498,-1814,5735,-4811,805155,"1"
7286,9922,11958,-3544,2575,8883,-2583,812640,"2"
7287,10470,11902,-3218,2551,9760,-2745,812650,"2"
7288,10832,11998,-2910,2475,10482,-2721,812660,"2"
7289,11056,12146,-2618,2227,11083,-2506,812670,"2"
7290,11120,12152,-2254,1769,11629,-2146,812680,"2"
7291,5154,8568,6096,-1235,6887,-4532,805165,"1"
7292,5916,8604,5744,-713,7710,-4589,805175,"1"
7293,6538,8838,5264,-518,7990,-4821,805185,"1"
7294,7156,9064,5012,-774,8130,-5391,805195,"1"
7295,7802,9212,4830,-1295,8040,-6308,805205,"1"
7291,10982,12130,-1854,1344,12078,-1696,812690,"2"
7292,10760,12182,-1588,960,12544,-1219,812700,"2"
7293,10586,12096,-1248,476,12858,-725,812710,"2"
7294,10510,11986,-848,133,12845,-204,812720,"2"
7295,10388,12014,-324,-79,12692,-63,812730,"2"
7296,8376,9360,4650,-2059,7711,-7293,805215,"1"
7297,8806,9328,4698,-2960,7253,-8183,805225,"1"
7298,9208,9378,4692,-3887,6895,-8927,805235,"1"
7299,9438,9390,4364,-4757,6435,-9626,805245,"1"
7300,9502,9356,4266,-5443,6158,-10171,805255,"1"
7296,10358,11744,-224,-62,12306,-141,812740,"2"
7297,10418,11570,4,197,11607,-293,812750,"2"
7298,10520,11464,116,562,10820,-449,812760,"2"
7299,10730,11574,26,1112,9988,-834,812770,"2"
7300,10966,11594,-164,1890,8945,-1126,812780,"2"
7301,9584,9380,4094,-5777,5994,-10581,805265,"1"
7302,9512,9424,3736,-5940,5988,-10699,805275,"1"
7303,9360,9336,3466,-5712,6129,-10500,805285,"1"
7304,9228,9284,3142,-5350,6345,-10109,805295,"1"
7305,9102,9114,2786,-4820,6505,-9523,805305,"1"
7301,11114,11828,-364,2675,7967,-1251,812790,"2"
7302,11304,12198,-610,3374,7124,-1293,812800,"2"
7303,11484,12378,-896,4008,6438,-1215,812810,"2"
7304,11632,12514,-1056,4702,5851,-1040,812820,"2"
7305,11912,12592,-1110,5385,5385,-773,812830,"2"
7306,9098,8710,2610,-4240,6747,-8788,805315,"1"
7307,9108,8366,2246,-3744,6922,-8025,805325,"1"
7308,9096,8084,2038,-3399,6657,-7496,805335,"1"
7309,8964,7740,1752,-3259,6408,-7065,805345,"1"
7310,8834,7522,1674,-3245,6174,-6598,805355,"1"
7306,12300,12898,-1204,5941,4955,-627,812840,"2"
7307,12532,12944,-1434,6588,4401,-616,812850,"2"
7308,12658,12788,-1414,7218,3941,-498,812860,"2"
7309,12684,12830,-1468,7652,3613,-273,812870,"2"
7310,12784,12866,-1584,7848,3314,-19,812880,"2"
7311,8784,7368,1572,-3240,5993,-6149,805365,"1"
7312,8412,7308,1470,-3193,5976,-5765,805375,"1"
7313,8180,7254,1298,-3106,5956,-5424,805385,"1"
7314,8082,7134,1154,-2891,6038,-4958,805395,"1"
7315,7892,7002,962,-2571,6211,-4307,805405,"1"
7311,12710,12618,-1666,7886,3259,42,812890,"2"
7312,12642,12206,-1710,8015,3271,-163,812900,"2"
7313,12610,11930,-1690,8044,3479,-469,812910,"2"
7314,12664,11916,-1700,7649,3746,-717,812920,"2"
7315,12692,12058,-1634,6928,3967,-885,812930,"2"
7316,7880,6912,726,-2228,6443,-3643,805415,"1"
7317,7900,6930,624,-1938,6598,-3117,805425,"1"
7318,7886,6830,362,-1681,6635,-2694,805435,"1"
7319,7864,6662,172,-1485,6483,-2235,805445,"1"
7320,7934,6542,-102,-1327,6306,-1797,805455,"1"
7316,12784,12076,-1552,6195,4147,-924,812940,"2"
7317,12626,12252,-1504,5357,4360,-753,812950,"2"
7318,12606,12442,-1500,4594,4499,-635,812960,"2"
7319,12400,12404,-1372,3941,4590,-502,812970,"2"
7320,12336,12396,-1332,3611,4626,-392,812980,"2"
7321,7832,6412,-308,-1248,6061,-1439,805465,"1"
7322,7862,6192,-324,-1263,5876,-1147,805475,"1"
7323,7832,6080,-304,-1186,5699,-914,805485,"1"
7324,7712,6012,-266,-1038,5484,-725,805495,"1"
7325,7770,5944,-364,-807,5322,-413,805505,"1"
7321,12272,12404,-1254,3461,4670,-372,812990,"2"
7322,12250,12342,-1144,3416,4661,-356,813000,"2"
7323,12288,12290,-990,3400,4536,-325,813010,"2"
7324,12240,12290,-810,3456,4256,-365,813020,"2"
7325,12272,12286,-710,3578,3871,-385,813030,"2"
7326,7898,5942,-392,-557,5212,76,805515,"1"
7327,7962,5790,-540,-216,5039,717,805525,"1"
7328,8096,5804,-598,157,4786,1473,805535,"1"
7329,8330,5760,-624,474,4460,2185,805545,"1"
7330,8364,5844,-778,785,4158,2677,805555,"1"
7326,12290,12352,-590,3738,3439,-474,813040,"2"
7327,12246,12360,-576,3936,2975,-593,813050,"2"
7328,12130,12330,-630,4075,2507,-682,813060,"2"
7329,11906,12356,-662,4069,2164,-718,813070,"2"
7330,11662,12552,-560,3747,1938,-782,813080,"2"
7331,8532,5912,-732,980,3761,3028,805565,"1"
7332,8800,6068,-798,1034,3302,3169,805575,"1"
7333,9000,6072,-752,1057,2767,3351,805585,"1"
7334,9464,6016,-468,1075,2201,3787,805595,"1"
7335,10132,6208,-98,1066,1584,4389,805605,"1"
7331,11534,12694,-508,3209,1795,-828,813090,"2"
7332,11350,12794,-340,2490,1673,-839,813100,"2"
7333,11096,12914,-186,1519,1451,-749,813110,"2"
7334,10762,13180,-18,493,1108,-656,813120,"2"
7335,10464,13552,68,-452,848,-618,813130,"2"
7336,10582,6360,278,1090,729,4873,805615,"1"
7337,10770,6618,790,957,-161,5226,805625,"1"
7338,10946,6930,1354,623,-1074,5361,805635,"1"
7339,10906,6980,2166,130,-2052,5531,805645,"1"
7340,10800,6860,2958,-260,-2962,5606,805655,"1"
7336,10094,13800,-12,-1329,580,-602,813140,"2"
7337,9848,13956,-56,-2084,398,-583,813150,"2"
7338,9444,14246,-56,-2684,287,-570,813160,"2"
7339,9084,14450,-36,-3184,258,-518,813170,"2"
7340,8874,14732,70,-3792,281,-392,813180,"2"
7341,8794,14770,238,-4428,178,-260,813190,"2"
7342,8934,14846,464,-5003,115,-88,813200,"2"
7343,9416,14780,628,-5652,-39,145,813210,"2"
7344,10082,14514,742,-6180,-506,354,813220,"2"
7345,10840,14062,1084,-6313,-1346,499,813230,"2"
7341,10730,6720,3610,-497,-3675,5731,805665,"1"
7342,10490,6628,3742,-704,-4232,6127,805675,"1"
7343,10176,6592,3630,-746,-4723,6681,805685,"1"
7344,9812,6822,3200,-603,-5172,7153,805695,"1"
7345,9370,7058,2952,-389,-5760,7576,805705,"1"
7346,9064,7440,2828,10,-6363,8095,805715,"1"
7347,8886,7912,2920,475,-6903,8550,805725,"1"
7348,8860,8328,3144,971,-7444,8926,805735,"1"
7349,8838,8860,3374,1266,-8010,9095,805745,"1"
7350,8910,9522,3644,1301,-8774,8558,805755,"1"
7346,11354,13718,1168,-6184,-2619,640,813240,"2"
7347,11594,13506,1058,-5759,-4189,724,813250,"2"
7348,11730,13422,682,-5200,-5757,684,813260,"2"
7349,11546,13470,266,-4810,-7229,651,813270,"2"
7350,11144,13516,-290,-4472,-8510,565,813280,"2"
7351,10726,13386,-684,-4279,-9343,589,813290,"2"
7352,10392,13434,-1208,-4565,-9878,835,813300,"2"
7353,10162,13456,-1798,-5241,-10058,1131,813310,"2"
7354,10024,13448,-2166,-6280,-9952,1481,813320,"2"
7355,9890,13436,-2510,-7427,-9716,1836,813330,"2"
7351,8810,10092,3850,1014,-9786,7423,805765,"1"
7352,8580,10590,4312,467,-10799,5960,805775,"1"
7353,8342,10862,4790,-164,-11777,4118,805785,"1"
7354,7692,11128,5232,-906,-12726,2018,805795,"1"
7355,7054,11066,5614,-1641,-13628,-255,805805,"1"
7356,6542,10768,5840,-2351,-14304,-2543,805815,"1"
7357,6222,9978,5972,-2845,-14391,-4205,805825,"1"
7358,5878,9360,5910,-2996,-14131,-5164,805835,"1"
7359,5846,8846,5626,-2811,-13469,-5625,805845,"1"
7360,5878,8246,5394,-2385,-12608,-5574,805855,"1"
7356,9848,13474,-2684,-8711,-9336,1969,813340,"2"
7357,9856,13474,-2766,-9818,-8755,1826,813350,"2"
7358,10126,13348,-2976,-10853,-8237,1712,813360,"2"
7359,10322,13296,-3006,-11682,-7918,1634,813370,"2"
7360,10560,13422,-2806,-12315,-7604,1610,813380,"2"
7361,6000,7720,5026,-1727,-11621,-5025,805865,"1"
7362,6218,7362,4742,-978,-10691,-4141,805875,"1"
7363,6334,6962,4488,-151,-9730,-3210,805885,"1"
7364,6276,6760,4126,653,-8770,-2347,805895,"1"
7365,6266,6634,3892,1434,-7888,-1521,805905,"1"
7361,10926,13564,-2634,-12673,-7446,1526,813390,"2"
7362,11312,13370,-2508,-12458,-7530,1440,813400,"2"
7363,11570,13330,-2292,-11619,-7901,1235,813410,"2"
7364,11908,13252,-2126,-10368,-8477,997,813420,"2"
7365,12092,13234,-2144,-8890,-9158,824,813430,"2"
7366,6432,6500,3734,2154,-7023,-826,805915,"1"
7367,6414,6378,3434,2784,-6322,-176,805925,"1"
7368,6456,6186,3330,3258,-5677,360,805935,"1"
7369,6498,5868,3500,3699,-5091,836,805945,"1"
7370,6330,5474,3806,4217,-4423,1465,805955,"1"
7366,12220,13198,-2254,-7389,-9843,770,813440,"2"
7367,12250,13116,-2416,-5761,-10464,705,813450,"2"
7368,12314,13120,-2578,-4163,-10851,657,813460,"2"
7369,12270,12950,-2890,-2698,-11043,614,813470,"2"
7370,12298,12686,-3074,-1576,-11077,695,813480,"2"
7371,6328,5036,3974,4799,-3642,2247,805965,"1"
7372,6318,4860,3930,5257,-2808,3238,805975,"1"
7373,6508,4680,3772,5551,-2023,4360,805985,"1"
7374,6816,4556,3630,5661,-1428,5535,805995,"1"
7375,7090,4900,3502,5626,-1115,6403,806005,"1"
7371,12318,12500,-3266,-743,-11057,814,813490,"2"
7372,12426,12306,-3370,-151,-10973,781,813500,"2"
7373,12530,12158,-3462,223,-10857,892,813510,"2"
7374,12522,12126,-3592,434,-10754,917,813520,"2"
7375,12582,12130,-3878,545,-10588,953,813530,"2"
7376,7034,5554,3386,5316,-1081,6733,806015,"1"
7377,6942,5836,3400,4919,-1185,6695,806025,"1"
7378,6794,6130,3498,4484,-1299,6604,806035,"1"
7379,6568,6230,3782,4096,-1312,6484,806045,"1"
7380,6338,6332,4040,3701,-1189,6350,806055,"1"
7376,12666,12062,-4008,650,-10231,910,813540,"2"
7377,12690,11998,-4240,859,-9830,742,813550,"2"
7378,12772,12000,-4544,1085,-9310,590,813560,"2"
7379,12932,11752,-4716,1133,-8529,715,813570,"2"
7380,13060,11826,-5014,904,-7556,867,813580,"2"
7381,6064,6390,4268,3397,-970,6276,806065,"1"
7382,5886,6448,4428,3249,-661,6168,806075,"1"
7383,5762,6690,4510,3088,-297,6073,806085,"1"
7384,5796,6950,4522,2944,-1,6021,806095,"1"
7385,5814,7164,4594,2843,154,5962,806105,"1"
7381,13214,11730,-4988,622,-6618,1063,813590,"2"
7382,13380,11550,-5102,337,-5639,1351,813600,"2"
7383,13436,11438,-4952,162,-4934,1433,813610,"2"
7384,13382,11346,-4664,109,-4188,1401,813620,"2"
7385,13364,11074,-4604,142,-3513,1231,813630,"2"
7386,5984,7582,4618,2708,103,5795,806115,"1"
7387,6214,8056,4602,2388,-166,5323,806125,"1"
7388,6104,8472,4836,1872,-558,4481,806135,"1"
7389,5938,8770,5272,1245,-997,3392,806145,"1"
7390,5858,8948,5674,559,-1401,2080,806155,"1"
7386,13176,10912,-4574,195,-2936,1025,813640,"2"
7387,12976,10982,-4522,257,-2365,854,813650,"2"
7388,12818,11030,-4582,341,-1640,641,813660,"2"
7389,12534,11080,-4662,493,-794,387,813670,"2"
7390,12230,10948,-4682,715,30,107,813680,"2"
7391,5868,9126,6070,-210,-1674,638,806165,"1"
7392,5914,9264,6544,-1016,-1805,-813,806175,"1"
7393,6078,9208,7040,-1961,-1721,-1948,806185,"1"
7394,6074,8838,7554,-2578,-1507,-2785,806195,"1"
7395,6260,8658,7918,-2840,-1315,-3469,806205,"1"
7391,11786,10976,-4536,832,858,-167,813690,"2"
7392,11480,10896,-4448,876,1739,-530,813700,"2"
7393,11018,10884,-4374,901,2518,-873,813710,"2"
7394,10600,11072,-4224,820,3427,-1220,813720,"2"
7395,10124,11428,-4074,608,4385,-1466,813730,"2"
7396,6536,8560,8254,-2993,-968,-3910,806215,"1"
7397,6570,8566,8484,-3191,-493,-3918,806225,"1"
7398,6532,8758,8600,-3451,-4,-3864,806235,"1"
7399,6400,8960,8452,-3726,467,-4056,806245,"1"
7400,6138,9118,8046,-4141,950,-4528,806255,"1"
7396,9708,11786,-3858,421,5407,-1775,813740,"2"
7397,9404,12008,-3592,345,6370,-2087,813750,"2"
7398,9140,12108,-3330,610,7303,-2478,813760,"2"
7399,9202,12396,-3230,1031,8240,-2914,813770,"2"
7400,9588,12478,-3168,1457,9041,-3221,813780,"2"
7401,5778,8924,7732,-4556,1463,-5070,806265,"1"
7402,5406,8538,7392,-4762,2096,-5402,806275,"1"
7403,5334,8088,7106,-4864,2966,-5454,806285,"1"
7404,5564,7792,6984,-4808,3957,-5372,806295,"1"
7405,5978,7924,6666,-4737,4910,-5356,806305,"1"
7401,10084,12536,-3014,2053,9827,-3380,813790,"2"
7402,10456,12728,-2816,2660,10509,-3367,813800,"2"
7403,10642,12980,-2542,3185,11228,-3244,813810,"2"
7404,10710,12974,-2394,3538,11894,-2805,813820,"2"
7405,10502,13034,-1958,3594,12403,-2227,813830,"2"
7406,6248,8086,6342,-4525,5811,-5304,806315,"1"
7407,6642,8352,5974,-4389,6551,-5056,806325,"1"
7408,7156,8756,5674,-4269,7214,-4996,806335,"1"
7409,7710,9068,5346,-4334,7574,-5128,806345,"1"
7410,8226,9242,5048,-4506,7551,-5462,806355,"1"
7406,10280,12940,-1580,3373,13035,-1819,813840,"2"
7407,10052,12852,-1186,3045,13489,-1358,813850,"2"
7408,9872,12734,-760,2593,13719,-985,813860,"2"
7409,9958,12432,-280,2266,13668,-790,813870,"2"
7410,10036,12282,-72,2109,13328,-745,813880,"2"
7411,8802,9512,4784,-4904,7249,-5892,806365,"1"
7412,9076,9686,4594,-5398,7007,-6384,806375,"1"
7413,9320,9680,4642,-5783,6842,-7079,806385,"1"
7414,9400,9540,4446,-6023,6630,-7610,806395,"1"
7415,9340,9506,4316,-6107,6448,-7965,806405,"1"
7411,10112,12256,278,2086,12609,-1015,813890,"2"
7412,10432,11866,478,2171,11758,-1488,813900,"2"
7413,10912,11536,420,2426,10543,-1786,813910,"2"
7414,11000,11466,50,2951,9211,-2241,813920,"2"
7415,11124,11592,-288,3583,8285,-2688,813930,"2"
7416,9166,9398,4018,-6201,6605,-7988,806415,"1"
7417,9022,9178,3834,-6103,6714,-7704,806425,"1"
7418,8806,8986,3566,-5784,7131,-7241,806435,"1"
7419,8584,8828,3204,-5208,7539,-6688,806445,"1"
7420,8488,8640,2936,-4579,7927,-6133,806455,"1"
7416,11412,11906,-610,4075,7503,-2800,813940,"2"
7417,11624,11982,-874,4303,7576,-2347,813950,"2"
7418,12106,12172,-1622,4960,6958,-2227,813960,"2"
7419,12460,12202,-1614,5590,6258,-2195,813970,"2"
7420,12704,12158,-1688,6085,5818,-2012,813980,"2"
7421,8310,8560,2584,-3927,8284,-5589,806465,"1"
7422,8194,8482,2364,-3327,8557,-5144,806475,"1"
7423,8206,8350,2106,-2793,8796,-4727,806485,"1"
7424,8204,8190,2006,-2284,8982,-4283,806495,"1"
7425,8140,8046,1716,-1881,9133,-3889,806505,"1"
7421,12798,12094,-1802,6524,5306,-1740,813990,"2"
7422,12904,12076,-1724,6831,4681,-1500,814000,"2"
7423,12910,12100,-1646,7069,4251,-1346,814010,"2"
7424,12880,11930,-1772,7375,3867,-1309,814020,"2"
7425,12718,11896,-1756,7609,3643,-1326,814030,"2"
7426,12592,11790,-1798,7640,3577,-1432,814040,"2"
7427,12546,11804,-1872,7474,3589,-1543,814050,"2"
7428,12414,12014,-1808,7230,3755,-1743,814060,"2"
7429,12484,12056,-1742,6935,3921,-1815,814070,"2"
7430,12482,12134,-1706,6420,4021,-1769,814080,"2"
7426,8248,7942,1652,-1553,9260,-3591,806515,"1"
7427,8220,7866,1416,-1300,9302,-3380,806525,"1"
7428,8176,7736,1258,-1231,9198,-3304,806535,"1"
7429,8182,7554,1050,-1296,9131,-3279,806545,"1"
7430,8270,7326,788,-1428,9024,-3276,806555,"1"
7431,8366,7156,596,-1596,8798,-3277,806565,"1"
7432,8446,7020,358,-1723,8516,-3271,806575,"1"
7433,8450,6890,148,-1756,8249,-3141,806585,"1"
7434,8328,6770,-66,-1682,7978,-2899,806595,"1"
7435,8376,6618,-142,-1487,7653,-2684,806605,"1"
7431,12344,12304,-1628,5773,4105,-1625,814090,"2"
7432,12112,12360,-1512,5145,4268,-1435,814100,"2"
7433,12066,12496,-1350,4450,4397,-1231,814110,"2"
7434,12058,12532,-1126,3781,4500,-1033,814120,"2"
7435,12072,12430,-894,3166,4488,-842,814130,"2"
7436,8316,6502,-420,-1282,7300,-2395,806615,"1"
7437,8220,6388,-574,-1085,6965,-2045,806625,"1"
7438,8136,6296,-590,-906,6692,-1696,806635,"1"
7439,8174,6188,-590,-617,6406,-1253,806645,"1"
7440,8184,6092,-608,-272,6162,-779,806655,"1"
7436,12054,12262,-724,2660,4433,-635,814140,"2"
7437,11996,12172,-628,2374,4308,-512,814150,"2"
7438,11944,12146,-546,2311,4136,-435,814160,"2"
7439,11954,12230,-366,2262,3893,-414,814170,"2"
7440,11888,12364,-380,2212,3645,-384,814180,"2"
7441,8288,6070,-712,-6,5834,-230,806665,"1"
7442,8396,5962,-842,163,5458,298,806675,"1"
7443,8474,5872,-852,290,4988,706,806685,"1"
7444,8678,5792,-856,350,4417,1105,806695,"1"
7445,8762,5816,-820,360,3806,1511,806705,"1"
7441,11854,12368,-408,2156,3348,-313,814190,"2"
7442,11832,12406,-432,2035,3003,-240,814200,"2"
7443,11616,12368,-468,1838,2680,-178,814210,"2"
7444,11514,12366,-460,1530,2360,-173,814220,"2"
7445,11196,12328,-384,1211,2053,-236,814230,"2"
7446,8726,5790,-662,481,3261,2007,806715,"1"
7447,8916,5860,-386,663,2754,2632,806725,"1"
7448,9222,5982,-164,861,2340,3315,806735,"1"
7449,9546,6174,212,1065,1918,4016,806745,"1"
7450,10116,6372,408,1169,1320,4713,806755,"1"
7446,11020,12322,-308,721,1798,-121,814240,"2"
7447,10720,12458,-88,39,1437,12,814250,"2"
7448,10384,12708,154,-757,1113,47,814260,"2"
7449,9914,12854,196,-1558,780,-4,814270,"2"
7450,9678,13162,494,-2313,522,-60,814280,"2"
7451,9428,13388,384,-3057,270,-89,814290,"2"
7452,8964,13672,480,-3803,-249,-38,814300,"2"
7453,8574,13970,532,-4453,-671,-44,814310,"2"
7454,8298,14142,562,-4969,-1010,-57,814320,"2"
7455,8198,14252,528,-5398,-1283,-99,814330,"2"
7451,10634,6650,590,1186,465,5323,806765,"1"
7452,11108,7006,1120,1090,-522,5669,806775,"1"
7453,11410,7458,1600,889,-1578,5824,806785,"1"
7454,11434,7868,2144,666,-2629,6028,806795,"1"
7455,11214,8046,2714,659,-3539,6396,806805,"1"
7456,8466,14344,600,-5784,-1447,-117,814340,"2"
7457,9132,14374,546,-6276,-1509,-36,814350,"2"
7458,9958,14020,652,-6747,-1838,217,814360,"2"
7459,10736,13614,794,-6952,-2593,469,814370,"2"
7460,11182,13280,942,-6917,-3671,621,814380,"2"
7456,11084,8082,2778,855,-4480,6928,806815,"1"
7457,10812,7964,2408,1122,-5567,7509,806825,"1"
7458,10178,7986,2256,1313,-6670,7886,806835,"1"
7459,9558,8028,2078,1388,-7809,7833,806845,"1"
7460,8990,8090,2298,1434,-8829,7647,806855,"1"
7461,11290,13022,874,-6596,-5041,722,814390,"2"
7462,11260,13016,610,-6285,-6345,726,814400,"2"
7463,10910,13102,336,-6218,-7639,812,814410,"2"
7464,10442,13160,-128,-6284,-8657,932,814420,"2"
7465,10064,13318,-620,-6457,-9309,1072,814430,"2"
7461,8650,8290,2756,1463,-9691,7258,806865,"1"
7462,8566,8464,3176,1432,-10529,6918,806875,"1"
7463,8686,8728,3660,1350,-11325,6409,806885,"1"
7464,8694,9140,4134,1150,-12233,5479,806895,"1"
7465,8868,9450,4556,878,-13164,4020,806905,"1"
7466,8698,9776,5138,312,-14093,2286,806915,"1"
7467,8378,9884,5614,-369,-14904,442,806925,"1"
7468,8050,9844,6062,-1217,-15624,-1292,806935,"1"
7469,7768,9488,6416,-1806,-16049,-2759,806945,"1"
7470,7184,9006,6422,-2158,-16162,-3660,806955,"1"
7466,9802,13446,-1216,-6598,-9637,1193,814440,"2"
7467,9550,13530,-1662,-6899,-9752,1455,814450,"2"
7468,9418,13606,-2084,-7445,-9646,1741,814460,"2"
7469,9438,13452,-2402,-8099,-9387,1970,814470,"2"
7470,9496,13394,-2642,-8824,-9078,2208,814480,"2"
7471,6932,8662,6476,-2254,-15900,-4332,806965,"1"
7472,6644,8204,6346,-2061,-15206,-4767,806975,"1"
7473,6176,7790,6280,-1532,-14183,-4811,806985,"1"
7474,5770,7460,6076,-896,-12789,-4525,806995,"1"
7475,5548,7152,5818,-190,-11227,-3847,807005,"1"
7471,9750,13362,-2754,-9530,-8769,2409,814490,"2"
7472,9992,13400,-2854,-10119,-8496,2571,814500,"2"
7473,10436,13428,-2924,-10476,-8309,2649,814510,"2"
7474,10750,13326,-2836,-10435,-8231,2648,814520,"2"
7475,11034,13278,-2898,-10053,-8248,2549,814530,"2"
7476,5454,6688,5566,724,-9494,-2760,807015,"1"
7477,5522,6324,5192,1798,-7817,-1354,807025,"1"
7478,5838,6088,4866,2836,-6233,249,807035,"1"
7479,5972,5902,4590,3798,-4863,1829,807045,"1"
7480,6162,5886,4318,4618,-3735,3289,807055,"1"
7476,11346,13184,-2880,-9426,-8397,2444,814540,"2"
7477,11658,13084,-2864,-8601,-8576,2296,814550,"2"
7478,11880,13192,-2968,-7579,-8911,2238,814560,"2"
7479,12186,13122,-2920,-6447,-9112,2096,814570,"2"
7480,12302,13094,-2932,-5540,-9181,2094,814580,"2"
7481,6314,6008,4022,5212,-2855,4387,807065,"1"
7482,6370,6274,3706,5529,-2307,4882,807075,"1"
7483,6444,6362,3478,5669,-1936,5162,807085,"1"
7484,6582,6468,3298,5694,-1636,5413,807095,"1"
7485,6562,6592,3084,5670,-1402,5649,807105,"1"
7481,12438,13068,-3206,-4732,-9500,2129,814590,"2"
7482,12598,13022,-3200,-4058,-9712,2232,814600,"2"
7483,12722,12946,-3304,-3401,-9813,2309,814610,"2"
7484,12678,12726,-3424,-2623,-9960,2125,814620,"2"
7485,12710,12320,-3558,-2005,-9916,1904,814630,"2"
7486,6562,6594,3164,5560,-1294,5807,807115,"1"
7487,6640,6616,3172,5445,-1236,5860,807125,"1"
7488,6668,6644,3172,5254,-1296,5939,807135,"1"
7489,6534,6630,3322,4977,-1330,5932,807145,"1"
7490,6516,6584,3550,4708,-1375,5846,807155,"1"
7486,12836,12062,-3744,-1505,-9951,1730,814640,"2"
7487,12910,11988,-3826,-1191,-9882,1502,814650,"2"
7488,12988,11948,-4022,-1005,-9745,1338,814660,"2"
7489,13020,11916,-4096,-910,-9552,1199,814670,"2"
7490,13152,11954,-4252,-814,-9335,1119,814680,"2"
7491,6370,6624,3770,4434,-1407,5751,807165,"1"
7492,6308,6734,3826,4185,-1423,5655,807175,"1"
7493,6262,6778,4118,3918,-1481,5589,807185,"1"
7494,6046,6806,4198,3568,-1444,5552,807195,"1"
7495,5706,6782,4556,3188,-1306,5562,807205,"1"
7491,13232,11900,-4404,-702,-8922,1028,814690,"2"
7492,13290,11902,-4480,-600,-8399,974,814700,"2"
7493,13366,11860,-4654,-558,-7709,933,814710,"2"
7494,13384,11776,-4750,-522,-7026,884,814720,"2"
7495,13502,11724,-4704,-429,-6351,743,814730,"2"
7496,5612,6862,5034,3004,-1006,5404,807215,"1"
7497,5320,7052,5040,2831,-736,5190,807225,"1"
7498,5170,7124,5388,2755,-360,4993,807235,"1"
7499,5196,7304,5476,2842,19,4798,807245,"1"
7500,5200,7508,5460,2716,326,4542,807255,"1"
7496,13502,11632,-4658,-239,-5814,615,814740,"2"
7497,13480,11656,-4512,-39,-5336,523,814750,"2"
7498,13378,11668,-4478,171,-4871,523,814760,"2"
7499,13152,11618,-4416,390,-4353,579,814770,"2"
7500,12918,11686,-4446,565,-3711,611,814780,"2"
7501,5294,7746,5484,2410,500,4048,807265,"1"
7502,5448,7940,5542,2051,443,3331,807275,"1"
7503,5426,8156,5612,1622,286,2380,807285,"1"
7504,5280,8254,5822,1209,185,1374,807295,"1"
7505,5288,8096,6368,885,319,552,807305,"1"
7501,12720,11642,-4198,800,-3106,531,814790,"2"
7502,12598,11568,-4048,1033,-2444,451,814800,"2"
7503,12420,11498,-3826,1167,-1724,317,814810,"2"
7504,12252,11302,-3910,1263,-988,156,814820,"2"
7505,11980,11126,-3792,1362,-360,-37,814830,"2"
7506,5414,8112,6766,688,639,-80,807315,"1"
7507,5516,8076,6992,421,1023,-539,807325,"1"
7508,5842,7876,6946,132,1352,-763,807335,"1"
7509,6316,7914,7000,-264,1535,-1091,807345,"1"
7510,6694,7994,7134,-899,1523,-1622,807355,"1"
7506,11570,11080,-3598,1365,261,-130,814840,"2"
7507,11240,11180,-3580,1267,1027,-396,814850,"2"
7508,10984,11102,-3480,1226,1855,-755,814860,"2"
7509,10660,11100,-3442,1395,2609,-1128,814870,"2"
7510,10304,11202,-3468,1709,3424,-1628,814880,"2"
7511,7074,8240,7254,-1731,1351,-2381,807365,"1"
7512,7112,8486,7290,-2615,1077,-3202,807375,"1"
7513,6908,8538,7394,-3383,910,-3997,807385,"1"
7514,6592,8604,7340,-4005,983,-4613,807395,"1"
7515,6172,8632,7362,-4457,1316,-5049,807405,"1"
7511,10006,11460,-3400,1996,4296,-2171,814890,"2"
7512,9928,11532,-3382,2323,5095,-2832,814900,"2"
7513,9964,11504,-3256,2880,5710,-3463,814910,"2"
7514,10136,11740,-3266,3615,6338,-4109,814920,"2"
7515,10426,12174,-3308,4313,7010,-4554,814930,"2"
7516,5824,8570,7312,-4803,1944,-5413,807415,"1"
7517,5704,8412,7228,-5089,2779,-5513,807425,"1"
7518,5854,8448,7038,-5289,3724,-5496,807435,"1"
7519,6020,8640,6714,-5357,4719,-5467,807445,"1"
